,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude
428,hadejia,NG,94.17,33,53,7.76,12.4498,10.0444
429,egvekinot,RU,36.01,97,100,0.83,66.3167,-179.1667
430,ust-kut,RU,57.88,87,54,3.06,56.7938,105.7672
431,kuusamo,FI,57.24,82,0,11.5,65.9667,29.1833
432,caravelas,BR,71.17,88,21,3.29,-17.7125,-39.2481
433,sorland,NO,49.86,68,100,14.18,67.667,12.6934
434,tuatapere,NZ,38.05,83,74,4.59,-46.1333,167.6833
435,san martin,AR,36.57,67,100,10.49,-33.081,-68.4681
436,asau,RO,70.72,35,33,8.63,46.4333,26.4
437,upernavik,GL,34.09,99,100,10.38,72.7868,-56.1549
438,payo,ID,75.61,95,94,1.86,-3.7508,103.6372
439,jaffna,LK,83.95,72,100,15.3,9.6685,80.0074
440,yurty,RU,74.86,34,0,2.95,56.0498,97.6348
441,svetlyy,RU,68.05,63,52,4.68,54.675,20.1347
442,koflach,AT,74.71,71,95,4.54,47.0667,15.0833
443,saint-joseph,RE,73.78,61,4,8.97,-21.3667,55.6167
444,otavi,NA,69.19,12,0,11.61,-19.65,17.3333
445,suba,PH,84.09,71,100,3.87,10.8438,121.0102
446,acapulco,MX,75.02,94,100,12.66,16.8634,-99.8901
447,mastic beach,US,64.98,91,100,11.99,40.7668,-72.8521
448,ambam,CM,82.9,55,84,1.57,2.3833,11.2833
449,nueve de julio,AR,34.03,80,100,7.34,-35.4444,-60.8831
450,kruisfontein,ZA,65.88,55,99,5.59,-34.0033,24.7314
451,muros,ES,69.1,67,80,6.51,42.7762,-9.0603
452,altamira,BR,72.99,80,75,2.35,-3.2033,-52.2064
453,belyy yar,RU,82.29,42,0,8.95,53.6039,91.3903
454,miraflores,MX,56.05,87,100,3.76,19.2167,-98.8083
455,saskylakh,RU,54.91,36,25,6.49,71.9167,114.0833
456,hot springs,US,73.35,91,0,3.0,34.5037,-93.0552
457,bratsk,RU,59.49,55,99,7.85,56.1325,101.6142
458,ciudad bolivar,VE,75.51,90,97,6.04,8.1222,-63.5497
459,maceio,BR,78.24,78,100,6.91,-9.6658,-35.7353
460,porto novo,BJ,74.79,92,100,3.06,6.4965,2.6036
461,usinsk,RU,49.15,91,100,13.8,65.9939,57.5281
462,hami,CN,100.11,8,5,5.19,42.8,93.45
463,ternuvate,UA,72.07,36,22,16.73,47.8305,36.1276
464,santa fe,AR,46.02,80,96,4.0,-31.6333,-60.7
465,huarmey,PE,60.98,86,93,5.48,-10.0681,-78.1522
466,darnah,LY,80.13,63,0,18.54,32.767,22.6367
467,mirabad,AF,98.01,10,0,7.63,30.4362,61.8383
468,thinadhoo,MV,84.09,71,100,7.4,0.5333,72.9333
469,akureyri,IS,49.8,62,76,7.18,65.6835,-18.0878
470,sombrio,BR,64.94,97,100,2.42,-29.1139,-49.6167
471,chunar,IN,100.45,29,83,6.42,25.1333,82.9
472,dongsheng,CN,79.36,29,13,12.37,39.8161,109.9776
473,abha,SA,82.65,39,40,18.41,18.2164,42.5053
474,chhachhrauli,IN,103.5,20,39,13.24,30.25,77.3667
475,lodja,CD,94.75,25,51,3.33,-3.4833,23.4333
476,youkounkoun,GN,94.57,45,70,1.32,12.5333,-13.1333
477,nimaparha,IN,79.2,54,70,13.11,20.0667,86.0167
478,hay river,CA,44.8,82,47,6.46,60.8156,-115.7999
479,otjiwarongo,NA,65.82,10,0,9.33,-20.4637,16.6477
480,sikonge,TZ,87.06,20,16,3.24,-5.6333,32.7667
481,ancud,CL,38.23,79,100,7.85,-41.8697,-73.8203
482,samana,DO,73.36,85,100,2.1,19.2056,-69.3369
483,yumen,CN,88.79,14,0,16.44,40.2833,97.2
484,newport,GB,77.68,70,73,6.62,51.5877,-2.9984
485,hofn,IS,53.62,66,40,21.85,64.2539,-15.2082
486,pimentel,PE,61.09,77,20,11.5,-6.8367,-79.9342
487,novo aripuana,BR,72.75,90,49,0.76,-5.1206,-60.3797
488,vermillion,US,60.96,70,70,5.59,42.7794,-96.9292
489,santiago del estero,AR,51.48,50,100,8.75,-27.7951,-64.2615
490,mehamn,NO,44.55,93,100,9.22,71.0357,27.8492
491,marzuq,YE,98.96,19,39,13.62,14.4,46.4667
492,yerbogachen,RU,63.21,69,100,2.04,61.2767,108.0108
493,mount pleasant,US,73.0,93,0,4.61,32.7941,-79.8626
494,sao filipe,CV,75.9,86,81,3.38,14.8961,-24.4956
495,longyearbyen,SJ,48.04,57,40,17.27,78.2186,15.6401
496,olafsvik,IS,46.15,82,95,7.54,64.8945,-23.7142
497,ozark,US,72.64,94,6,3.02,37.0209,-93.206
498,igrim,RU,75.87,67,93,4.76,63.1906,64.4162
499,bubaque,GW,80.85,78,100,8.61,11.2833,-15.8333
500,mancio lima,BR,68.02,92,88,0.78,-7.6142,-72.8958
501,lagos,NG,73.49,98,100,4.41,6.5833,3.75
502,hirara,JP,83.91,81,0,12.71,24.8,125.2833
503,vestmannaeyjar,IS,49.19,76,75,26.46,63.4427,-20.2734
504,kouroussa,GN,85.32,59,21,3.11,10.65,-9.8833
505,chau doc,VN,85.17,70,91,10.4,10.7,105.1167
506,krasnoselkup,RU,85.1,29,74,16.02,65.7,82.4667
507,nosy varika,MG,71.98,58,85,5.26,-20.5833,48.5333
508,meadville,US,77.38,80,40,4.61,41.6414,-80.1515
509,almaznyy,RU,78.15,49,71,18.21,48.0448,40.045
510,athabasca,CA,53.69,95,100,3.04,54.7169,-113.2854
511,cururupu,BR,75.13,94,99,1.57,-1.8283,-44.8683
512,fukuma,JP,81.28,87,45,3.18,33.7667,130.4667
513,nabire,ID,76.69,90,99,3.13,-3.3667,135.4833
514,paita,PE,61.95,84,72,12.37,-5.0892,-81.1144
515,avera,US,63.91,62,8,3.51,33.194,-82.5271
516,ornskoldsvik,SE,60.04,48,31,8.99,63.2909,18.7153
517,ierapetra,GR,88.14,46,0,8.01,35.01,25.7353
518,verkhnyaya toyma,RU,65.12,47,100,6.6,62.2349,44.9985
519,hammerfest,NO,41.45,93,75,3.44,70.6634,23.6821
520,calabozo,VE,72.16,93,30,2.75,8.9242,-67.4293
521,christchurch,NZ,41.92,87,100,3.0,-43.5333,172.6333
522,qasigiannguit,GL,35.85,97,100,2.42,68.8193,-51.1922
523,villa altagracia,DO,75.0,93,100,1.81,18.673,-70.171
524,marathon,US,67.53,72,0,10.36,44.9,-89.7668
525,poum,NC,73.22,61,87,7.9,-20.2333,164.0167
526,santa rosa,PH,84.18,78,91,8.16,14.3122,121.1114
527,alcantara,BR,80.8,87,100,3.58,-2.4089,-44.4147
528,formosa,AR,60.78,94,100,2.3,-26.1775,-58.1781
529,lagoa,PT,63.88,83,86,16.75,39.05,-27.9833
530,rio tercero,AR,43.81,70,100,8.75,-32.173,-64.1141
531,batemans bay,AU,53.1,78,21,3.56,-35.7167,150.1833
532,suoyarvi,RU,70.18,36,13,1.39,62.0833,32.35
533,natal,BR,72.25,100,100,8.05,-5.795,-35.2094
534,matay,EG,94.57,20,0,15.1,28.419,30.7792
535,payakumbuh,ID,73.62,95,89,2.1,-0.2202,100.6308
536,qaqortoq,GL,40.03,79,3,2.77,60.7167,-46.0333
537,bobcaygeon,CA,74.88,98,81,2.13,44.5462,-78.542
538,general roca,AR,37.62,73,100,8.84,-39.0333,-67.5833
539,port-cartier,CA,50.76,91,87,8.46,50.0334,-66.8654
540,mnogovershinnyy,RU,59.54,80,13,5.39,53.9353,139.9242
541,shirokiy,RU,67.35,92,19,8.63,49.758,129.523
542,matamoros,MX,71.15,68,11,2.57,25.5333,-103.25
543,leshukonskoye,RU,63.66,44,83,6.55,64.8989,45.7622
544,belomorsk,RU,64.81,45,67,7.31,64.5232,34.7668
545,moldava nad bodvou,SK,81.48,26,0,9.22,48.6143,20.9996
546,hazorasp,UZ,96.64,11,0,11.68,41.3194,61.0742
547,lichtenburg,ZA,60.01,47,4,21.59,-26.152,26.1597
548,khvoynaya,RU,69.48,41,31,5.35,58.9,34.5333
549,mitu,CO,69.93,100,100,1.23,1.1983,-70.1733
550,bundaberg,AU,57.22,93,5,5.32,-24.85,152.35
551,treinta y tres,UY,47.52,76,97,13.33,-33.2333,-54.3833
552,bodden town,KY,80.92,85,90,5.99,19.2833,-81.25
553,matagami,CA,67.03,96,49,8.88,49.7502,-77.6328
554,shingu,JP,74.79,92,16,4.5,33.7333,135.9833
555,canon city,US,61.52,49,0,1.01,38.441,-105.2424
556,ixtapa,MX,79.23,94,100,3.44,20.7,-105.2
557,fengzhen,CN,71.85,67,69,3.47,40.4394,113.1536
558,tulun,RU,71.28,35,2,6.46,54.5611,100.5792
559,imbituba,BR,60.85,99,100,7.0,-28.24,-48.6703
560,corinth,GR,94.28,28,0,4.36,37.9407,22.9573
561,kigoma,TZ,81.73,31,39,3.29,-4.8769,29.6267
562,guanica,PR,77.92,89,28,4.81,17.9716,-66.908
563,yablonovo,RU,68.23,68,100,3.89,50.8523,37.3574
564,kendari,ID,74.35,95,100,0.36,-3.945,122.4989
565,zhigansk,RU,62.17,69,44,11.25,66.7697,123.3711
566,graaff-reinet,ZA,66.4,40,100,7.47,-32.2522,24.5308
567,sivaki,RU,62.19,92,99,2.01,52.6333,126.75
